seat_comfort,seat_cleanliness,flight_attendant_courtesy,flight_attendant_attentiveness,food_quality,was_flight_delayed,delay_minutes,delay_handling,overall_customer_satisfaction
1,3,3,2,4,NO,,,4
5,4,3,3,2,NO,,,6
4,1,3,5,5,YES,82,5,8
5,5,4,5,5,YES,32,3,8
2,3,5,4,4,YES,85,5,8
3,4,4,5,4,YES,68,4,9
4,5,3,2,3,YES,116,3,6
1,3,4,4,3,YES,80,2,4
5,3,5,1,5,NO,,,10
4,4,1,1,1,NO,,,4
2,3,4,5,3,YES,22,4,6
3,3,2,4,3,YES,53,2,4
2,2,3,4,2,NO,,,4
4,4,3,2,2,YES,107,3,6
4,2,1,5,4,YES,84,5,8
2,5,1,1,3,NO,,,2
4,4,5,5,2,YES,18,4,8
3,1,5,3,5,YES,44,2,8
5,3,5,4,5,YES,79,3,10
5,4,1,5,4,YES,105,3,6
3,3,4,1,3,YES,104,3,6
3,2,1,3,4,NO,,,4
2,4,4,4,5,YES,51,5,9
4,5,2,1,2,NO,,,4
1,3,1,4,4,YES,74,3,2
5,4,3,3,5,NO,,,8
5,1,4,1,1,YES,99,4,10
1,3,2,2,1,YES,52,5,10
4,1,5,5,5,YES,43,3,8
4,1,4,4,5,NO,,,8
4,3,3,3,4,YES,74,5,10
5,5,4,4,5,YES,68,3,8
2,5,5,2,2,YES,26,5,6
1,1,5,1,4,NO,,,6
2,4,4,2,1,YES,32,5,9
3,5,5,3,1,NO,,,6
4,4,1,2,4,YES,98,5,8
1,1,4,3,5,NO,,,6
2,3,5,3,5,NO,,,6
4,1,1,4,2,YES,112,3,4
5,3,5,1,5,YES,76,5,10
2,2,1,5,5,NO,,,4
3,2,2,2,3,NO,,,4
1,1,1,4,5,NO,,,2
2,5,4,3,2,NO,,,4
2,5,4,2,2,YES,114,3,4
5,3,4,3,3,NO,,,8
4,2,1,2,3,YES,99,4,10
5,3,5,3,4,YES,3,3,8
1,5,5,4,3,YES,14,3,6
5,4,3,2,3,YES,14,5,6
3,2,4,2,4,NO,,,6
4,4,3,4,5,YES,28,5,6
5,4,2,1,1,NO,,,6
4,4,1,3,2,YES,106,5,10
3,1,3,3,5,NO,,,6
4,2,3,2,5,NO,,,6
1,4,5,5,5,YES,44,5,10
1,1,3,2,4,YES,91,3,5
2,5,3,4,3,NO,,,4
2,1,2,1,2,NO,,,4
5,5,5,2,4,NO,,,8
4,4,5,5,3,YES,24,4,8
2,3,3,1,2,YES,120,2,4
1,1,2,5,2,NO,,,2
2,4,1,5,5,NO,,,4
2,3,4,5,2,YES,59,4,8
1,1,1,1,4,YES,61,5,10
1,2,4,4,5,YES,89,5,9
5,1,4,5,3,YES,76,4,10
1,2,5,3,5,YES,65,2,6
1,1,3,2,2,NO,,,4
5,4,3,2,3,YES,24,5,6
1,3,5,2,5,YES,82,3,6
3,1,5,1,1,YES,25,4,6
3,4,1,4,3,YES,69,5,8
4,5,4,2,1,YES,2,2,6
3,2,3,3,3,YES,68,3,6
4,4,1,5,5,NO,,,6
5,4,3,4,5,YES,120,5,10
2,3,5,5,2,YES,112,4,10
1,3,3,3,5,YES,94,5,10
3,3,3,1,2,YES,87,2,5
1,1,4,5,4,YES,26,3,4
5,1,2,2,3,NO,,,6
4,3,2,3,5,YES,74,4,10
4,3,1,4,2,YES,48,4,9
4,3,4,3,4,YES,7,3,8
1,2,4,3,2,YES,95,3,4
2,3,4,5,1,YES,21,4,4
5,5,4,4,1,YES,112,4,10
3,4,1,1,1,YES,71,3,4
1,4,3,2,5,YES,108,2,4
5,1,1,5,5,YES,95,5,8
2,3,4,2,3,YES,55,2,6
4,3,3,4,5,YES,109,2,6
3,3,1,4,5,YES,25,3,4
3,4,1,3,4,NO,,,4
5,1,2,1,3,NO,,,6
3,1,2,4,5,NO,,,6
4,2,2,2,2,NO,,,4
5,4,4,4,5,YES,60,4,8
3,5,1,4,2,YES,110,4,9
5,1,1,2,2,NO,,,4
5,3,2,5,3,NO,,,6
2,5,3,2,1,NO,,,4
1,4,3,3,2,YES,19,2,4
1,5,5,4,2,YES,41,2,4
5,5,4,1,1,YES,8,5,6
3,5,5,3,2,NO,,,6
3,1,2,5,4,YES,96,4,8
2,4,1,4,3,YES,42,3,4
3,5,4,4,4,YES,114,5,10
3,4,4,3,5,NO,,,6
4,3,4,3,2,YES,105,5,9
4,2,3,4,1,YES,22,5,6
2,3,3,5,1,NO,,,4
1,3,2,5,5,NO,,,4
4,1,5,5,2,YES,10,2,8
2,1,5,4,5,YES,25,4,6
4,1,2,5,1,NO,,,4
3,2,3,2,5,NO,,,6
2,4,2,1,3,YES,14,4,4
2,4,1,4,5,YES,34,5,9
3,2,1,2,1,YES,56,3,2
5,1,3,3,1,YES,108,5,9
2,1,1,5,4,NO,,,4
1,4,3,5,4,YES,110,2,4
4,2,5,4,3,YES,4,2,8
1,3,3,3,2,YES,76,5,8
5,2,2,4,1,YES,83,5,9
1,2,5,3,3,YES,5,2,6
3,4,3,4,5,YES,62,3,6
1,3,3,4,3,YES,65,2,4
5,5,3,2,3,NO,,,6
2,5,3,4,2,NO,,,4
1,4,2,2,2,YES,16,3,2
4,4,2,5,1,NO,,,4
4,3,1,1,2,NO,,,4
4,5,3,5,4,YES,91,5,10
4,4,1,3,3,YES,59,4,9
2,3,3,1,3,YES,112,4,9
1,3,4,5,3,YES,69,5,10
4,3,1,3,3,NO,,,4
1,1,3,4,3,YES,93,2,5
4,1,1,3,5,YES,113,2,6
2,2,1,5,3,YES,88,3,2
1,4,1,3,1,NO,,,2
5,2,5,5,5,YES,6,3,10
2,2,3,3,4,YES,46,2,4
5,5,1,2,3,NO,,,6
3,3,1,1,4,YES,114,5,9
4,4,3,5,5,YES,43,2,6
2,5,4,5,4,NO,,,6
4,3,5,3,4,YES,7,2,8
5,4,2,1,3,YES,18,5,6
3,5,2,4,2,YES,35,3,4
5,4,1,2,1,YES,35,3,4
5,1,5,2,3,NO,,,8
3,1,3,1,5,NO,,,6
5,4,2,3,5,NO,,,6
1,3,4,1,5,YES,4,4,6
1,5,4,2,2,YES,3,2,4
4,1,1,1,5,YES,17,2,6
2,1,3,2,2,YES,32,5,8
1,5,4,4,2,YES,62,4,8
2,5,3,2,3,NO,,,4
3,2,3,1,3,YES,99,3,6
2,4,4,3,2,YES,18,4,4
1,3,4,5,2,YES,114,3,4
2,4,3,3,3,YES,35,5,9
4,3,5,2,1,YES,79,4,10
1,5,4,1,3,NO,,,4
4,1,1,1,3,YES,76,3,4
5,3,1,4,5,YES,75,2,6
3,5,2,1,3,YES,23,5,4
4,4,2,1,2,NO,,,4
3,1,2,2,1,YES,9,2,4
3,4,2,4,5,YES,49,2,6
3,4,4,2,2,YES,83,4,10
4,2,5,5,3,NO,,,8
3,5,5,2,2,YES,39,3,6
1,1,1,3,2,YES,7,5,2
2,4,2,4,4,NO,,,4
2,4,2,3,2,YES,15,3,4
4,1,4,3,1,YES,1,5,6
2,4,2,5,5,YES,90,4,8
2,4,1,5,3,NO,,,2
3,5,3,3,5,YES,60,3,6
1,5,1,3,2,YES,21,5,2
1,3,1,2,4,NO,,,2
3,5,5,4,1,YES,83,2,6
4,2,2,5,1,NO,,,4
1,2,5,4,4,NO,,,6
4,1,3,1,4,YES,75,2,6
5,5,1,1,2,YES,104,4,10
4,4,4,1,2,YES,44,2,6
1,5,3,2,4,YES,60,3,5
3,3,5,2,5,YES,92,5,10
1,1,1,1,4,YES,108,2,2
3,1,1,5,5,NO,,,4
4,4,3,2,2,YES,8,5,6
2,5,5,5,3,NO,,,6
5,1,3,3,2,NO,,,6
4,2,1,3,4,NO,,,4
5,3,1,1,3,NO,,,6
4,3,3,1,3,NO,,,6
2,2,2,2,2,NO,,,4
5,5,5,2,1,YES,32,4,10
3,5,2,2,4,YES,115,3,5
5,1,5,3,3,NO,,,8
2,3,5,4,1,YES,103,3,6
1,5,2,2,1,YES,64,5,8
4,4,2,4,2,NO,,,4
1,2,5,5,5,YES,110,4,8
5,3,1,2,3,NO,,,6
2,3,3,4,4,NO,,,4
2,4,3,5,1,YES,72,3,4
2,1,4,3,2,YES,79,2,4
2,5,3,2,4,YES,63,5,9
2,3,5,1,2,NO,,,6
5,1,5,4,2,NO,,,8
5,5,1,2,2,YES,81,2,4
4,2,5,3,1,YES,12,3,6
5,3,4,1,3,NO,,,8
4,4,2,4,2,YES,95,5,10
2,1,2,5,3,YES,66,4,8
2,5,3,5,3,YES,78,2,4
3,2,1,4,3,YES,61,3,4
2,3,1,3,3,YES,111,3,5
1,2,5,3,1,YES,108,4,9
5,1,3,1,5,NO,,,8
1,4,3,5,4,YES,74,3,4
5,3,4,1,5,NO,,,8
